Date,Stock,Returns
2017-09-01,Apple (AAPL),0.25528699127053
2017-09-01,Bed Bath & Beyond (BBBY),0.39187962788558
2017-09-01,BlackBerry (BB),0.32257776726798
2017-09-01,Clover Health (CLOV),
2017-09-01,Microsoft (MSFT),-0.29349149331658997
2017-09-01,Nokia (NOK),1.45161540897786
2017-09-01,Nvidia (NVDA),1.3561248291258499
2017-09-01,Tilray (TLRY),
2017-09-01,Virgin Galactic (SPCE),
2017-09-05,AMC Entertainment (AMC),1.6027842238480299
2017-09-05,Alphabet (GOOG),-0.58144909600482
2017-09-05,Amazon (AMZN),-0.7851650777841701
2017-09-05,Apple (AAPL),-0.41833541360069004
2017-09-05,Bed Bath & Beyond (BBBY),-0.17743486113446
2017-09-05,BlackBerry (BB),-2.4651612445562296
2017-09-05,Clover Health (CLOV),
2017-09-05,Microsoft (MSFT),-1.13727388067418
2017-09-05,Nokia (NOK),-1.5898236127032999
2017-09-05,Nvidia (NVDA),-1.93135089197789
2017-09-05,Tilray (TLRY),
2017-09-05,Virgin Galactic (SPCE),
2017-09-06,AMC Entertainment (AMC),0.13717735163463002
2017-09-06,Alphabet (GOOG),-0.6494105010110299
2017-09-06,Amazon (AMZN),-0.50472868265493
2017-09-06,Apple (AAPL),-0.7671199432791
2017-09-06,Bed Bath & Beyond (BBBY),1.74191856766996
2017-09-06,BlackBerry (BB),0.54944214246803
2017-09-06,Clover Health (CLOV),
2017-09-06,Microsoft (MSFT),0.20300653284335002
2017-09-06,Nokia (NOK),-0.32310146593915
2017-09-06,Nvidia (NVDA),-0.46268760874648
2017-09-06,Tilray (TLRY),
2017-09-06,Virgin Galactic (SPCE),
2017-09-07,AMC Entertainment (AMC),0.0
2017-09-07,Alphabet (GOOG),0.59027893597354
2017-09-07,Amazon (AMZN),0.90035398526044
2017-09-07,Apple (AAPL),-0.46015091399665004
2017-09-07,Bed Bath & Beyond (BBBY),-0.06988279936125
2017-09-07,BlackBerry (BB),0.0
2017-09-07,Clover Health (CLOV),
2017-09-07,Microsoft (MSFT),0.75634461327553
2017-09-07,Nokia (NOK),1.4586734436792699
2017-09-07,Nvidia (NVDA),0.05363309669479
2017-09-07,Tilray (TLRY),
2017-09-07,Virgin Galactic (SPCE),
2017-09-08,AMC Entertainment (AMC),-5.13698616715035
2017-09-08,Alphabet (GOOG),0.06193724751426
2017-09-08,Amazon (AMZN),-0.07240451858347001
2017-09-08,Apple (AAPL),-0.67185130656668
2017-09-08,Bed Bath & Beyond (BBBY),-0.45454918315128
2017-09-08,BlackBerry (BB),-0.32786594778033
2017-09-08,Clover Health (CLOV),
2017-09-08,Microsoft (MSFT),-0.21447189810647
2017-09-08,Nokia (NOK),-3.03514457306013
2017-09-08,Nvidia (NVDA),-0.7028367860331299
2017-09-08,Tilray (TLRY),
2017-09-08,Virgin Galactic (SPCE),
2017-09-11,AMC Entertainment (AMC),3.97111351560974
2017-09-11,Alphabet (GOOG),0.148347306457
2017-09-11,Amazon (AMZN),0.21023113434259
2017-09-11,Apple (AAPL),0.55849158508287
2017-09-11,Bed Bath & Beyond (BBBY),0.0
2017-09-11,BlackBerry (BB),0.54824771230572
2017-09-11,Clover Health (CLOV),
2017-09-11,Microsoft (MSFT),0.67168186942707
2017-09-11,Nokia (NOK),0.9884669041635199
2017-09-11,Nvidia (NVDA),1.6315673039246599
2017-09-11,Tilray (TLRY),
2017-09-11,Virgin Galactic (SPCE),
2017-09-12,AMC Entertainment (AMC),0.90277859642184
2017-09-12,Alphabet (GOOG),-0.52217425473192
2017-09-12,Amazon (AMZN),0.27802373244083
2017-09-12,Apple (AAPL),1.1786508029248899
2017-09-12,Bed Bath & Beyond (BBBY),3.54759484805491
2017-09-12,BlackBerry (BB),1.6357646377566302
2017-09-12,Clover Health (CLOV),
2017-09-12,Microsoft (MSFT),0.40031413476110994
2017-09-12,Nokia (NOK),-0.16313586778371
2017-09-12,Nvidia (NVDA),0.3364264586315
2017-09-12,Tilray (TLRY),
2017-09-12,Virgin Galactic (SPCE),
2017-09-13,AMC Entertainment (AMC),5.64350078161257
2017-09-13,Alphabet (GOOG),0.40386393183857
2017-09-13,Amazon (AMZN),1.55686380887671
2017-09-13,Apple (AAPL),-2.43961931947255
2017-09-13,Bed Bath & Beyond (BBBY),0.50881825257618
2017-09-13,BlackBerry (BB),0.21459719333229
2017-09-13,Clover Health (CLOV),
2017-09-13,Microsoft (MSFT),-0.013283502285619999
2017-09-13,Nokia (NOK),-1.30718832029432
2017-09-13,Nvidia (NVDA),0.90587840360754
2017-09-13,Tilray (TLRY),
2017-09-13,Virgin Galactic (SPCE),
2017-09-14,AMC Entertainment (AMC),6.51465781855735
2017-09-14,Alphabet (GOOG),-0.47799205566131997
2017-09-14,Amazon (AMZN),-0.14399719238281
2017-09-14,Apple (AAPL),-0.35009552005368
2017-09-14,Bed Bath & Beyond (BBBY),-0.5399927504013
2017-09-14,BlackBerry (BB),-0.32119627924073
2017-09-14,Clover Health (CLOV),
2017-09-14,Microsoft (MSFT),0.34559948854764
2017-09-14,Nokia (NOK),-0.49668432385201
2017-09-14,Nvidia (NVDA),0.59461601514672
2017-09-14,Tilray (TLRY),
2017-09-14,Virgin Galactic (SPCE),
2017-09-15,AMC Entertainment (AMC),4.77063462445472
2017-09-15,Alphabet (GOOG),-0.67326173566291
2017-09-15,Amazon (AMZN),-0.23133592485394
2017-09-15,Apple (AAPL),0.9849481708501899
2017-09-15,Bed Bath & Beyond (BBBY),-1.73057428152272
2017-09-15,BlackBerry (BB),0.42964511332077
2017-09-15,Clover Health (CLOV),
2017-09-15,Microsoft (MSFT),-0.13246585898909
2017-09-15,Nokia (NOK),3.4941689403044296
2017-09-15,Nvidia (NVDA),4.3752915847105
2017-09-15,Tilray (TLRY),
2017-09-15,Virgin Galactic (SPCE),
2017-09-18,AMC Entertainment (AMC),3.0356128618771
2017-09-18,Alphabet (GOOG),-0.47599205842705
2017-09-18,Amazon (AMZN),-0.34730305785366
2017-09-18,Apple (AAPL),-0.29198062815363
2017-09-18,Bed Bath & Beyond (BBBY),-0.06905577019082
2017-09-18,BlackBerry (BB),0.0
2017-09-18,Clover Health (CLOV),
2017-09-18,Microsoft (MSFT),0.76933523776407
2017-09-18,Nokia (NOK),0.64309389130949
2017-09-18,Nvidia (NVDA),6.15734623302934
2017-09-18,Tilray (TLRY),
2017-09-18,Virgin Galactic (SPCE),
2017-09-19,AMC Entertainment (AMC),-5.38242989304906
2017-09-19,Alphabet (GOOG),0.03686944946614
2017-09-19,Amazon (AMZN),-1.46556859043133
2017-09-19,Apple (AAPL),-0.45482599846669997
2017-09-19,Bed Bath & Beyond (BBBY),-4.94125873803252
2017-09-19,BlackBerry (BB),-0.42780706118794
2017-09-19,Clover Health (CLOV),
2017-09-19,Microsoft (MSFT),-0.34224316447636
2017-09-19,Nokia (NOK),0.0
2017-09-19,Nvidia (NVDA),-0.70606216855327
2017-09-19,Tilray (TLRY),
2017-09-19,Virgin Galactic (SPCE),
2017-09-20,AMC Entertainment (AMC),-2.69461522383934
2017-09-20,Alphabet (GOOG),1.24238824324505
2017-09-20,Amazon (AMZN),-0.35062428311618
2017-09-20,Apple (AAPL),-0.94511468063175
2017-09-20,Bed Bath & Beyond (BBBY),-14.830970155436779
2017-09-20,BlackBerry (BB),6.8743218131325
2017-09-20,Clover Health (CLOV),
2017-09-20,Microsoft (MSFT),-0.21132747939454
2017-09-20,Nokia (NOK),-0.31949611872849
2017-09-20,Nvidia (NVDA),-0.2264987731082
2017-09-20,Tilray (TLRY),
2017-09-20,Virgin Galactic (SPCE),
2017-09-21,AMC Entertainment (AMC),-2.46153611403244
2017-09-21,Alphabet (GOOG),0.28376171270707
2017-09-21,Amazon (AMZN),-0.31904127954618
2017-09-21,Apple (AAPL),-1.5543987997370101
2017-09-21,Bed Bath & Beyond (BBBY),-1.0243267946741998
2017-09-21,BlackBerry (BB),-0.90452416395109
2017-09-21,Clover Health (CLOV),
2017-09-21,Microsoft (MSFT),-0.41033113893576
2017-09-21,Nokia (NOK),-1.92307515962583
2017-09-21,Nvidia (NVDA),-3.5476725190914
2017-09-21,Tilray (TLRY),
2017-09-21,Virgin Galactic (SPCE),
2017-09-22,AMC Entertainment (AMC),0.9463698102218201
2017-09-22,Alphabet (GOOG),-0.19219918786412998
2017-09-22,Amazon (AMZN),-0.62673785236583
2017-09-22,Apple (AAPL),-2.2657244609450897
2017-09-22,Bed Bath & Beyond (BBBY),-2.8460536102308898
2017-09-22,BlackBerry (BB),-2.3326526394001497
2017-09-22,Clover Health (CLOV),
2017-09-22,Microsoft (MSFT),-0.97022295091077
2017-09-22,Nokia (NOK),-1.14378588452904
2017-09-22,Nvidia (NVDA),-0.21346436571584002
2017-09-22,Tilray (TLRY),
2017-09-22,Virgin Galactic (SPCE),
2017-09-25,AMC Entertainment (AMC),0.9374976158142
2017-09-25,Alphabet (GOOG),-0.89116663305226
2017-09-25,Amazon (AMZN),-1.67665591351376
2017-09-25,Apple (AAPL),-0.28896199452318
2017-09-25,Bed Bath & Beyond (BBBY),3.46204507556546
2017-09-25,BlackBerry (BB),-4.15369228921148
2017-09-25,Clover Health (CLOV),
2017-09-25,Microsoft (MSFT),-0.34894930717501
2017-09-25,Nokia (NOK),-0.66115637342102
2017-09-25,Nvidia (NVDA),-2.47380536845569
2017-09-25,Tilray (TLRY),
2017-09-25,Virgin Galactic (SPCE),
2017-09-26,AMC Entertainment (AMC),-2.47677788221938
2017-09-26,Alphabet (GOOG),0.47711716934966
2017-09-26,Amazon (AMZN),-0.08321120184295999
2017-09-26,Apple (AAPL),1.3765371222324199
2017-09-26,Bed Bath & Beyond (BBBY),0.0
2017-09-26,BlackBerry (BB),0.21668969399347998
2017-09-26,Clover Health (CLOV),
2017-09-26,Microsoft (MSFT),-0.59259588068182
2017-09-26,Nokia (NOK),-0.66556467831662
2017-09-26,Nvidia (NVDA),0.49493228848105
2017-09-26,Tilray (TLRY),
2017-09-26,Virgin Galactic (SPCE),
2017-09-27,AMC Entertainment (AMC),-0.12698703342013
2017-09-27,Alphabet (GOOG),2.04980244981247
2017-09-27,Amazon (AMZN),0.70311904977713
2017-09-27,Apple (AAPL),0.51975250862446
2017-09-27,Bed Bath & Beyond (BBBY),-0.08579386904001
2017-09-27,BlackBerry (BB),0.6486531850453799
2017-09-27,Clover Health (CLOV),
2017-09-27,Microsoft (MSFT),0.4877396318375
2017-09-27,Nokia (NOK),-1.00502420248184
2017-09-27,Nvidia (NVDA),-1.34877350688797
2017-09-27,Tilray (TLRY),
2017-09-27,Virgin Galactic (SPCE),
2017-09-28,AMC Entertainment (AMC),-2.41576078719056
2017-09-28,Alphabet (GOOG),0.08316915690891
2017-09-28,Amazon (AMZN),0.46059085839913005
2017-09-28,Apple (AAPL),-0.28438627064034
2017-09-28,Bed Bath & Beyond (BBBY),2.27564945668821
2017-09-28,BlackBerry (BB),16.32652454973717
2017-09-28,Clover Health (CLOV),
2017-09-28,Microsoft (MSFT),-0.26964669432326
2017-09-28,Nokia (NOK),0.16920861489049
2017-09-28,Nvidia (NVDA),-0.05106461365971
2017-09-28,Tilray (TLRY),
2017-09-28,Virgin Galactic (SPCE),
2017-09-29,AMC Entertainment (AMC),-2.2801327216398
2017-09-29,Alphabet (GOOG),0.95677802634226
2017-09-29,Amazon (AMZN),0.53454254637499
2017-09-29,Apple (AAPL),-0.097221867819
2017-09-29,Bed Bath & Beyond (BBBY),-0.12593946129810998
2017-09-29,BlackBerry (BB),4.70914342081834
2017-09-29,Clover Health (CLOV),
2017-09-29,Microsoft (MSFT),0.77058224336581
2017-09-29,Nokia (NOK),1.35135004518676
2017-09-29,Nvidia (NVDA),2.0149864907139396
2017-09-29,Tilray (TLRY),
2017-09-29,Virgin Galactic (SPCE),
2017-10-02,AMC Entertainment (AMC),0.99999745686849
2017-10-02,Alphabet (GOOG),0.28693714608308996
2017-10-02,Amazon (AMZN),0.25704123445582
2017-10-02,Apple (AAPL),0.20761179218346998
2017-10-02,Bed Bath & Beyond (BBBY),-0.25221257243354
2017-10-02,BlackBerry (BB),1.5873042570876998
2017-10-02,Clover Health (CLOV),
2017-10-02,Microsoft (MSFT),0.63053557141186
2017-10-02,Nokia (NOK),0.16667048136393
2017-10-02,Nvidia (NVDA),1.25187784648417
2017-10-02,Tilray (TLRY),
2017-10-02,Virgin Galactic (SPCE),-2.85714467366536
2017-10-03,AMC Entertainment (AMC),5.28052944474246
2017-10-03,Alphabet (GOOG),-0.47166326733459996
2017-10-03,Amazon (AMZN),-0.37423318399655997
2017-10-03,Apple (AAPL),0.41437319669415
2017-10-03,Bed Bath & Beyond (BBBY),-0.08428343088702
2017-10-03,BlackBerry (BB),-1.2152807097191
2017-10-03,Clover Health (CLOV),
2017-10-03,Microsoft (MSFT),-0.17331672991608
2017-10-03,Nokia (NOK),-0.16639315309471
2017-10-03,Nvidia (NVDA),-0.7693119734877001
2017-10-03,Tilray (TLRY),
2017-10-03,Virgin Galactic (SPCE),-0.9803865653465501
2017-10-04,AMC Entertainment (AMC),0.6269556676566199
2017-10-04,Alphabet (GOOG),0.24947641489825
2017-10-04,Amazon (AMZN),0.42544388620058005
2017-10-04,Apple (AAPL),-0.7930851483543101
2017-10-04,Bed Bath & Beyond (BBBY),-1.34964026647214
2017-10-04,BlackBerry (BB),-2.10896106067354
2017-10-04,Clover Health (CLOV),
2017-10-04,Microsoft (MSFT),-0.21366992332193
2017-10-04,Nokia (NOK),-0.9999990463256799
2017-10-04,Nvidia (NVDA),0.65898905157812
2017-10-04,Tilray (TLRY),
2017-10-04,Virgin Galactic (SPCE),0.49504193239715
2017-10-05,AMC Entertainment (AMC),2.80374320455025
2017-10-05,Alphabet (GOOG),1.09539034879502
2017-10-05,Amazon (AMZN),1.41766463537258
2017-10-05,Apple (AAPL),1.02690876432272
2017-10-05,Bed Bath & Beyond (BBBY),0.51304336196993
2017-10-05,BlackBerry (BB),0.53859483028064
2017-10-05,Clover Health (CLOV),
2017-10-05,Microsoft (MSFT),1.87366368175458
2017-10-05,Nokia (NOK),0.16834599239644998
2017-10-05,Nvidia (NVDA),0.12653117793531998
2017-10-05,Tilray (TLRY),
2017-10-05,Virgin Galactic (SPCE),0.0
2017-10-06,AMC Entertainment (AMC),-2.36363266453598
2017-10-06,Alphabet (GOOG),0.8806127215086701
2017-10-06,Amazon (AMZN),1.45082164981662
2017-10-06,Apple (AAPL),0.03216871524218
2017-10-06,Bed Bath & Beyond (BBBY),-0.51042466212305
2017-10-06,BlackBerry (BB),-0.8035728046480599
2017-10-06,Clover Health (CLOV),
2017-10-06,Microsoft (MSFT),-0.11823957440568
2017-10-06,Nokia (NOK),-0.50419720895581
2017-10-06,Nvidia (NVDA),-0.08791410006009
2017-10-06,Tilray (TLRY),
2017-10-06,Virgin Galactic (SPCE),0.0
2017-10-09,AMC Entertainment (AMC),-5.64867018379688
2017-10-09,Alphabet (GOOG),0.60901335085634
2017-10-09,Amazon (AMZN),0.27617527924388
2017-10-09,Apple (AAPL),0.7974726288304699
2017-10-09,Bed Bath & Beyond (BBBY),-1.75288524203023
2017-10-09,BlackBerry (BB),3.8703899051638997
2017-10-09,Clover Health (CLOV),
2017-10-09,Microsoft (MSFT),0.6839461802050399
2017-10-09,Nokia (NOK),0.50675223960423
2017-10-09,Nvidia (NVDA),2.6891770172289
2017-10-09,Tilray (TLRY),
2017-10-09,Virgin Galactic (SPCE),6.896559499977729
2017-10-10,AMC Entertainment (AMC),-5.92105019620907
2017-10-10,Alphabet (GOOG),-0.39120751263358006
2017-10-10,Amazon (AMZN),-0.055082930411889997
2017-10-10,Apple (AAPL),0.8103134735412699
2017-10-10,Bed Bath & Beyond (BBBY),-2.04525379772376
2017-10-10,BlackBerry (BB),-0.43327721750558
2017-10-10,Clover Health (CLOV),
2017-10-10,Microsoft (MSFT),0.10449927951806999
2017-10-10,Nokia (NOK),0.33613414399393
2017-10-10,Nvidia (NVDA),3.33101342206361
2017-10-10,Tilray (TLRY),
2017-10-10,Virgin Galactic (SPCE),-6.580651399088509
